Test File,Predicted Speaker,Similarity Score,Result
abhi0.wav,abhijeet,0.743,✅ Access Granted → abhijeet (0.743)
abhi1.wav,abhijeet,0.637,✅ Access Granted → abhijeet (0.637)
abhi2.wav,abhijeet,0.677,✅ Access Granted → abhijeet (0.677)
anshu (1).wav,hash,0.641,✅ Access Granted → hash (0.641)
anshu (2).wav,hash,0.595,🚫 Access Denied → No match found (max=0.595)
anshu (3).wav,hash,0.559,🚫 Access Denied → No match found (max=0.559)
anshu (4).wav,saksham,0.639,✅ Access Granted → saksham (0.639)
anshu (5).wav,saksham,0.608,🚫 Access Denied → No match found (max=0.608)
anshu (6).wav,hash,0.621,🚫 Access Denied → No match found (max=0.621)
anshu (7).wav,hash,0.596,🚫 Access Denied → No match found (max=0.596)
hash1.wav,hash,0.673,✅ Access Granted → hash (0.673)
hash2.wav,hash,0.664,✅ Access Granted → hash (0.664)
hash3.wav,hash,0.761,✅ Access Granted → hash (0.761)
hash4.wav,hash,0.614,🚫 Access Denied → No match found (max=0.614)
pooja.wav,pooja,0.640,✅ Access Granted → pooja (0.640)
rinku (10).wav,rinku,0.752,✅ Access Granted → rinku (0.752)
rinku (8).wav,rinku,0.727,✅ Access Granted → rinku (0.727)
rinku (9).wav,rinku,0.719,✅ Access Granted → rinku (0.719)
ripu (5).wav,ripu,0.654,✅ Access Granted → ripu (0.654)
ripu (6).wav,ripu,0.675,✅ Access Granted → ripu (0.675)
ripu (7).wav,ripu,0.710,✅ Access Granted → ripu (0.710)
saksham (1).wav,saksham,0.693,✅ Access Granted → saksham (0.693)
saksham (2).wav,saksham,0.683,✅ Access Granted → saksham (0.683)
saksham (3).wav,saksham,0.721,✅ Access Granted → saksham (0.721)
